Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
HTI,1983-01-01,1983-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,2.0787724500,E
HTI,1984-01-01,1984-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,2.1504946920,E
HTI,1985-01-01,1985-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,2.2396391380,E
HTI,1986-01-01,1986-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,2.3686382050,E
HTI,1987-01-01,1987-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,2.2363212660,E
HTI,1988-01-01,1988-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,2.3279542670,E
HTI,1989-01-01,1989-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1989,1989,LCU,2.8117885970,E
HTI,1990-01-01,1990-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1990,1990,LCU,3.0445649750,E
HTI,1991-01-01,1991-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1991,1991,LCU,4.1619489720,E
HTI,1992-01-01,1992-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1992,1992,LCU,4.3416021930,E
HTI,1993-01-01,1993-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1993,1993,LCU,4.1099383050,E
HTI,1994-01-01,1994-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1994,1994,LCU,6.4166949360,E
HTI,1995-01-01,1995-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1995,1995,LCU,9.3620711030,E
HTI,1996-01-01,1996-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1996,1996,LCU,10.3432026100,E
HTI,1997-01-01,1997-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1997,1997,LCU,9.7014432810,E
HTI,1998-01-01,1998-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1998,1998,LCU,12.3973821100,E
HTI,1999-01-01,1999-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1999,1999,LCU,11.7105034900,E
HTI,2000-01-01,2000-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2000,2000,LCU,10.9406923700,E
HTI,2001-01-01,2001-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2001,2001,LCU,13.3065129800,E
HTI,2002-01-01,2002-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2002,2002,LCU,19.0101913900,E
HTI,2003-01-01,2003-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2003,2003,LCU,37.6839355200,E
HTI,2004-01-01,2004-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2004,2004,LCU,29.4676365600,E
